RL,Jugador,País,Posc,Posc 2,Equipo,Edad,Rango Etario,Minutos,PenEjec,Goles/90,Ast/90,G+a/90,ACT.ACT,ACT.SCA90,PassLive,PassDead,HASTA,TiroalTiro,FaltRecib,ACG.ACG,ACG.GCA90,Toques,3. Ataq,Ataq.Pen,Ataq.Pen.PORC,3.Ataq.PORC,Tomas.Balónvivo,Att,Exitosa.PORC,Dist. tot.,Dist. Prg,Rec,PrgR,TiPas.Balónvivo,PL,Camb,PA,Bloqueos,Goles,Disp,PORC de TT,TalArc/90,G/T,DistDisp,Cmp,Total.Intent,Total.Cmp.PORC,Cortos.Cmp,Cortos.Intent,Cortos.Cmp.PORC,Derribos.Tkl,Derribos.TklG,Desafio.Tkl,Desafio.Tkl.PORC,Bloqueos.1,Tkl+Int,Penal concedido,Recup.,Aer.Ganados,Aer.Ganados.PORC
1,MAX AARONS,ENG,DF,DF,Bournemouth,23,Promesa,1237,0,0,0.07,0.07,23,1.68,16,4,0,0,3,2,0.15,711,165,11,0.02,0.23,711,34,41.2,2174,1121,371,26,453,2,3,1,23,0,2,0,0,0,23.9,450,581,77.5,220,248,88.7,29,19,20,58.8,9,37,1,75,5,31.3
3,BÉNIE ADAMA TRAORE,CIV,DL,CC,Sheffield United,20,Promesa,387,0,0,0,0,6,1.4,6,0,0,0,0,1,0.23,112,48,9,0.08,0.43,112,22,22.7,462,174,69,14,65,2,0,1,4,0,1,100,0.23,0,15.3,55,71,77.5,34,38,89.5,4,2,0,0,4,5,0,22,2,10
4,TYLER ADAMS,USA,CC,CC,Bournemouth,24,Promesa,121,0,0,0,0,3,2.25,2,1,0,0,0,0,0,91,14,4,0.04,0.15,91,3,66.7,193,116,52,1,67,0,1,0,0,0,0,0,0,0,0,59,71,83.1,35,39,89.7,4,3,2,66.7,2,8,0,7,2,40
5,TOSIN ADARABIOYO,ENG,DF,DF,Fulham,25,Maduro,1617,0,0.11,0,0.11,10,0.56,6,0,0,4,0,0,0,1390,48,29,0.02,0.04,1390,3,33.3,4560,2661,1009,5,1181,1,9,2,8,2,14,35.7,0.28,0.14,14.2,1028,1216,84.5,277,307,90.2,21,11,12,57.1,16,46,0,43,56,66.7
6,ELIJAH ADEBAYO,ENG,DL,DL,Luton Town,25,Maduro,1419,0,0.63,0,0.63,31,1.97,19,0,5,5,2,5,0.32,462,243,82,0.18,0.53,462,67,26.9,1516,425,337,110,202,1,0,1,5,10,31,45.2,0.89,0.32,9.6,144,204,70.6,94,122,77,4,1,1,8.3,13,10,0,34,43,50
7,SIMON ADINGRA,CIV,DL,DL,Brighton,21,Promesa,2222,0,0.24,0.04,0.28,77,3.12,51,1,13,7,3,4,0.16,1159,627,153,0.13,0.54,1159,123,40.7,5063,2996,795,278,815,7,2,2,29,6,52,42.3,0.89,0.12,15.9,634,840,75.5,412,491,83.9,45,20,19,45.2,31,64,0,118,8,40
8,NAYEF AGUERD,MAR,DF,DF,West Ham United,27,Maduro,1857,0,0.05,0,0.05,14,0.68,12,1,0,1,0,0,0,1373,50,21,0.02,0.04,1373,5,60,4211,2388,912,3,1100,1,29,2,5,1,14,21.4,0.15,0.07,10.8,943,1177,80.1,335,360,93.1,26,14,16,72.7,33,43,1,102,48,60
10,NAOUIROU AHAMADA,FRA,CC,DL,Crystal Palace,21,Promesa,349,0,0,0,0,9,2.3,9,0,0,0,0,3,0.77,240,75,8,0.03,0.31,240,13,53.8,1018,486,169,20,183,0,0,0,8,0,9,22.2,0.52,0,20.4,150,187,80.2,76,89,85.4,13,9,8,47.1,3,15,0,30,3,50
11,ANEL AHMEDHODŽIĆ,BIH,DF,DF,Sheffield United,24,Promesa,2649,0,0.07,0,0.07,26,0.88,23,0,0,3,0,1,0.03,1331,104,33,0.03,0.08,1331,21,52.4,3497,1946,693,21,950,1,2,2,20,2,19,26.3,0.17,0.11,11.9,745,988,75.4,334,384,87,64,36,30,61.2,43,99,0,107,51,58
12,OLA AINA,NGA,DF,DF,Nottingham Forest,26,Maduro,1692,0,0.05,0.05,0.11,38,2.02,25,5,3,1,3,1,0.05,1019,228,13,0.01,0.22,1019,45,60,3139,1830,539,38,649,2,2,3,17,1,11,9.1,0.05,0.09,26.6,603,802,75.2,328,374,87.7,47,31,29,70.7,19,65,1,97,16,57.1
